iter	Passed	Remaining
0	241	120755
1	328	81725
2	423	70228
3	510	63344
4	630	62383
5	825	67952
6	926	65224
7	1010	62143
8	1086	59292
9	1152	56477
10	1229	54665
11	1303	52998
12	1378	51643
13	1463	50808
14	1568	50728
15	1650	49913
16	1736	49343
17	1824	48845
18	1908	48314
19	1988	47725
20	2067	47154
21	2145	46609
22	2226	46170
23	2305	45724
24	2383	45284
25	2463	44920
26	2538	44472
27	2615	44095
28	2684	43599
29	2762	43274
30	2834	42883
31	2910	42566
32	2982	42203
33	3055	41879
34	3168	42092
35	3272	42175
36	3385	42361
37	3663	44541
38	3815	45105
39	3900	44852
40	3988	44649
41	4079	44488
42	4160	44220
43	4243	43974
44	4320	43687
45	4398	43410
46	4473	43114
47	4556	42907
48	4663	42924
49	4764	42879
50	4837	42586
51	4916	42358
52	4989	42081
53	5071	41886
54	5153	41700
55	5238	41532
56	5321	41357
57	5397	41136
58	5465	40849
59	5540	40629
60	5711	41106
61	5867	41450
62	5955	41309
63	6041	41160
64	6119	40952
65	6194	40735
66	6265	40490
67	6347	40323
68	6424	40131
69	6501	39938
70	6581	39768
71	6654	39559
72	6731	39377
73	6810	39204
74	6888	39035
75	6962	38840
76	7040	38677
77	7110	38469
78	7179	38260
79	7255	38093
80	7372	38135
81	7456	38008
82	7539	37879
83	7583	37555
84	7659	37396
85	7730	37213
86	7812	37087
87	7859	36798
88	7933	36635
89	8012	36501
90	8095	36383
91	8173	36249
92	8256	36132
93	8336	36006
94	8410	35853
95	8485	35709
96	8562	35573
97	8633	35416
98	8704	35258
99	8785	35141
100	8857	34992
101	8936	34869
102	9011	34734
103	9083	34588
104	9159	34458
105	9228	34301
106	9298	34152
107	9369	34009
108	9453	33910
109	9527	33780
110	9601	33649
111	9676	33522
112	9758	33419
113	9836	33305
114	9911	33181
115	9980	33039
116	10063	32943
117	10150	32861
118	10222	32728
119	10302	32623
120	10382	32519
121	10462	32418
122	10541	32310
123	10625	32219
124	10704	32112
125	10779	31996
126	10849	31864
127	10926	31755
128	10999	31633
129	11074	31519
130	11146	31397
131	11216	31269
132	11287	31147
133	11354	31014
134	11424	30887
135	11496	30768
136	11578	30677
137	11651	30564
138	11719	30438
139	11788	30313
140	11862	30201
141	11924	30063
142	12020	30010
143	12091	29893
144	12177	29813
145	12250	29702
146	12321	29587
147	12391	29470
148	12460	29352
149	12533	29244
150	12603	29128
151	12678	29026
152	12746	28909
153	12828	28821
154	12897	28706
155	12966	28592
156	13040	28489
157	13124	28408
158	13212	28336
159	13285	28232
160	13371	28154
161	13447	28057
162	13515	27942
163	13593	27850
164	13671	27756
165	13742	27649
166	13818	27553
167	13889	27448
168	13966	27353
169	14034	27243
170	14104	27136
171	14184	27049
172	14255	26944
173	14332	26852
174	14402	26748
175	14472	26642
176	14549	26551
177	14628	26463
178	14704	26370
179	14782	26280
180	14854	26180
181	14930	26088
182	15011	26003
183	15081	25900
184	15157	25808
185	15232	25714
186	15307	25621
187	15379	25523
188	15453	25429
189	15526	25331
190	15593	25227
191	15666	25131
192	15732	25024
193	15807	24933
194	15880	24838
195	15953	24744
196	16028	24652
197	16104	24562
198	16174	24465
199	16250	24375
200	16323	24282
201	16409	24208
202	16482	24114
203	16561	24029
204	16624	23923
205	16698	23831
206	16774	23744
207	16846	23650
208	16926	23567
209	16998	23473
210	17071	23382
211	17156	23307
212	17234	23221
213	17313	23137
214	17387	23048
215	17461	22959
216	17541	22876
217	17622	22795
218	17699	22710
219	17778	22627
220	17850	22534
221	17926	22448
222	17996	22354
223	18067	22261
224	18143	22175
225	18213	22081
226	18283	21988
227	18348	21889
228	18419	21798
229	18497	21714
230	18572	21628
231	18644	21537
232	18714	21444
233	18787	21356
234	18864	21272
235	18928	21174
236	18996	21080
237	19070	20993
238	19147	20909
239	19222	20824
240	19294	20735
241	19373	20654
242	19446	20567
243	19526	20486
244	19593	20392
245	19668	20308
246	19742	20222
247	19818	20138
248	19896	20056
249	19963	19963
250	20030	19871
251	20101	19782
252	20184	19706
253	20276	19637
254	20356	19558
255	20432	19474
256	20501	19384
257	20570	19295
258	20640	19206
259	20712	19119
260	20788	19036
261	20865	18954
262	20943	18873
263	21013	18784
264	21078	18692
265	21154	18609
266	21224	18521
267	21293	18433
268	21368	18350
269	21441	18264
270	21517	18182
271	21601	18106
272	21679	18026
273	21761	17948
274	21837	17867
275	21912	17783
276	21986	17700
277	22071	17625
278	22149	17544
279	22225	17462
280	22294	17375
281	22372	17295
282	22445	17211
283	22520	17128
284	22590	17042
285	22659	16955
286	22727	16867
287	22798	16782
288	22873	16700
289	22958	16625
290	23038	16546
291	23116	16466
292	23197	16388
293	23277	16309
294	23363	16235
295	23439	16154
296	23521	16076
297	23596	15995
298	23674	15915
299	23745	15830
300	23816	15745
301	23890	15663
302	23965	15581
303	24024	15489
304	24104	15410
305	24187	15334
306	24390	15333
307	24524	15287
308	24613	15214
309	24691	15133
310	24774	15055
311	24852	14975
312	24925	14891
313	24998	14808
314	25072	14724
315	25156	14647
316	25248	14575
317	25325	14494
318	25407	14416
319	25488	14337
320	25569	14258
321	25647	14177
322	25722	14095
323	25791	14010
324	25869	13929
325	25943	13847
326	26010	13761
327	26086	13679
328	26162	13597
329	26232	13513
330	26305	13430
