Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,1,26,0,1,895,1,2,2,3,2,2,4,2,2,5,5,2,5,2,0,0.0
0,0,37,0,1,977,3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,0.0
0,0,38,0,0,2318,1,0,0,3,5,3,3,2,2,0,1,4,2,3,0,0.0
1,0,42,0,0,3381,2,3,2,2,5,4,4,5,5,5,5,5,5,5,0,0.0
0,1,26,0,0,569,0,0,0,3,3,0,1,3,4,2,4,5,4,3,96,91.0
1,0,50,1,1,1481,2,5,2,4,3,2,3,3,3,3,2,2,4,3,2,0.0
0,0,28,0,0,1626,1,4,1,1,4,4,4,4,2,4,1,4,1,4,0,0.0
0,0,46,0,0,888,3,3,3,3,5,4,4,4,4,4,4,3,4,4,0,0.0
1,0,43,0,0,980,5,5,5,5,2,4,4,5,5,5,5,3,5,3,4,0.0
0,1,62,0,0,449,4,4,4,1,2,4,2,2,3,5,5,4,5,2,2,1.0
1,0,24,0,1,326,0,3,0,4,3,0,3,3,5,2,3,3,4,3,1,0.0
0,0,30,0,0,2450,3,3,3,3,2,2,2,2,3,3,3,2,3,2,2,0.0
1,0,16,1,1,1014,2,4,2,4,1,2,1,1,3,5,4,5,5,1,91,120.0
1,0,40,0,0,429,3,1,2,1,5,4,3,3,3,3,3,4,3,2,25,25.0
1,0,30,0,2,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49.0
0,0,44,0,0,201,1,1,1,1,4,4,5,5,5,5,4,5,5,5,0,0.0
1,0,45,0,1,550,4,2,4,4,4,4,4,4,4,4,3,5,5,4,0,0.0
1,0,27,0,0,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1.0
0,0,57,0,0,153,3,4,4,4,5,3,4,2,2,2,3,4,2,2,0,0.0
1,0,58,1,1,866,4,5,4,1,5,4,5,5,5,3,5,4,4,5,0,0.0
1,0,30,0,0,2253,5,5,5,5,5,5,5,5,1,3,3,4,1,5,40,42.0
0,0,23,1,2,1372,3,5,3,1,1,3,1,1,3,2,3,4,5,1,0,0.0
0,1,26,0,1,1068,2,2,2,3,3,2,3,3,1,1,3,1,4,3,0,0.0
0,0,48,0,0,304,2,2,4,2,4,5,4,5,5,5,5,4,5,3,33,27.0
0,0,59,0,0,1773,4,4,2,4,2,4,5,5,5,5,5,3,5,5,64,49.0
0,1,24,0,0,1130,4,0,4,1,4,4,4,4,4,5,5,3,5,4,26,15.0
1,1,25,0,1,320,2,5,2,4,2,2,2,2,4,4,5,5,3,2,0,0.0
0,0,14,1,1,391,1,1,1,3,3,1,3,3,4,2,4,4,4,3,0,0.0
1,1,21,0,1,594,1,5,1,2,3,1,3,3,4,4,4,4,4,3,0,0.0
1,0,50,0,0,3550,5,5,5,5,2,5,4,4,4,4,4,5,4,5,0,0.0
