iter	RMSE
0	0.8514224329
1	0.797989376
2	0.7462456142
3	0.7027726617
4	0.6625933797
5	0.6286230306
6	0.5981518289
7	0.5698052122
8	0.5441782652
9	0.525392911
10	0.5067197372
11	0.4910861992
12	0.4752463563
13	0.4609654348
14	0.4488417882
15	0.4385644888
16	0.4284896827
17	0.4204591826
18	0.4140917793
19	0.4068291844
20	0.4020344984
21	0.3973545853
22	0.3926330337
23	0.3889154988
24	0.3853187153
25	0.3826886833
26	0.3797795092
27	0.3774307046
28	0.3762484198
29	0.3744380369
30	0.3733792433
31	0.3728183504
32	0.3719550632
33	0.3712414739
34	0.3704246255
35	0.368468979
36	0.3678502655
37	0.3678486672
38	0.3669412242
39	0.3659459579
40	0.3650793408
41	0.3642712296
42	0.3626812769
43	0.3624871332
44	0.3609507658
45	0.3604750183
46	0.3594833756
47	0.3592491612
48	0.3583948639
49	0.3567434652
50	0.3565273724
51	0.356092671
52	0.3557917738
53	0.3545170918
54	0.3543296555
55	0.3541882176
56	0.3539527415
57	0.3538387995
58	0.3536180998
59	0.3535451114
60	0.3531941427
61	0.3518148981
62	0.3517701775
63	0.3516678549
64	0.3507912765
65	0.3503259056
66	0.3496447664
67	0.3488702625
68	0.3484463749
69	0.3482690998
70	0.3477174686
71	0.3475052165
72	0.3475041306
73	0.347502631
74	0.3474219657
75	0.3471279885
76	0.3467680773
77	0.3467250782
78	0.3466842036
79	0.3455196299
80	0.3450443026
81	0.3449223868
82	0.3443341848
83	0.343907993
84	0.3430828842
85	0.3416870264
86	0.3416844703
87	0.3411179887
88	0.3409301425
89	0.3406223311
90	0.3403901117
91	0.3398691272
92	0.3396899919
93	0.3394092935
94	0.3393080678
95	0.3389911373
96	0.33856079
97	0.3378964452
98	0.3372403048
99	0.3371919359
100	0.3366021163
101	0.3363229064
102	0.3359456882
103	0.3357221564
104	0.3349489636
105	0.3349267189
106	0.334875148
107	0.3346088531
108	0.3343037892
109	0.3339378789
110	0.3335226156
111	0.3332935531
112	0.3326887468
113	0.332670856
114	0.3319696086
115	0.3315990337
116	0.3315879025
117	0.331026412
118	0.3299751396
119	0.3297143213
120	0.3295523376
121	0.329228252
122	0.3291534871
123	0.3284289919
124	0.3281774124
125	0.3275602142
126	0.3275499025
127	0.3274216976
128	0.3271712754
129	0.3266073475
130	0.3265581376
131	0.3254750621
132	0.3250377392
133	0.3243174964
134	0.32395592
135	0.3239449647
136	0.3235960594
137	0.3233848454
138	0.3232703148
139	0.3228333644
140	0.3223866829
141	0.3223669024
142	0.3222566197
143	0.3210612234
144	0.3205742307
145	0.3200120749
146	0.3198079695
147	0.319620903
148	0.3195382486
149	0.3192605862
150	0.3186990744
151	0.3186681196
152	0.3185099331
153	0.3180455426
154	0.3174503662
155	0.3169590712
156	0.3168882295
157	0.3167298079
158	0.3164107357
159	0.3162005793
160	0.3157693204
161	0.3152266096
162	0.3148611029
163	0.3146222817
164	0.3141544718
165	0.3138333498
166	0.3133297253
167	0.3132147035
