iter	Passed	Remaining
0	12	6316
1	24	6087
2	60	10090
3	92	11427
4	122	12168
5	169	13979
6	209	14785
7	242	14942
8	273	14941
9	289	14183
10	321	14297
11	353	14382
12	384	14399
13	415	14409
14	447	14466
15	484	14656
16	518	14738
17	550	14747
18	576	14595
19	611	14679
20	641	14630
21	675	14687
22	724	15022
23	757	15029
24	790	15026
25	822	14996
26	856	15005
27	890	15015
28	907	14744
29	941	14748
30	969	14669
31	986	14420
32	1011	14317
33	1039	14251
34	1071	14232
35	1104	14239
36	1127	14110
37	1141	13883
38	1177	13916
39	1215	13974
40	1248	13979
41	1284	14004
42	1321	14042
43	1345	13945
44	1381	13969
45	1416	13981
46	1450	13975
47	1486	13995
48	1522	14017
49	1554	13993
50	1581	13923
51	1612	13896
52	1648	13903
53	1681	13885
54	1707	13817
55	1723	13668
56	1756	13647
57	1776	13537
58	1807	13512
59	1819	13342
60	1853	13336
61	1887	13335
62	1912	13264
63	1934	13179
64	1970	13184
65	2003	13177
66	2035	13157
67	2068	13143
68	2103	13139
69	2136	13125
70	2170	13115
71	2204	13104
72	2216	12967
73	2228	12827
74	2258	12799
75	2289	12772
76	2320	12750
77	2352	12726
78	2368	12620
79	2399	12598
80	2431	12576
81	2463	12560
82	2496	12540
83	2528	12520
84	2559	12497
85	2592	12479
86	2602	12353
87	2637	12348
88	2672	12339
89	2712	12356
90	2745	12341
91	2778	12320
92	2811	12302
93	2842	12277
94	2873	12250
95	2905	12226
96	2935	12195
97	2968	12176
98	3000	12154
99	3033	12132
100	3066	12112
101	3100	12099
102	3138	12096
103	3172	12080
104	3206	12061
105	3239	12039
106	3271	12016
107	3308	12008
108	3340	11984
109	3374	11962
110	3407	11942
111	3442	11925
112	3477	11909
113	3509	11881
114	3541	11855
115	3571	11823
116	3601	11789
117	3632	11760
118	3664	11732
119	3695	11701
120	3727	11676
121	3762	11658
122	3798	11641
123	3833	11623
124	3866	11600
125	3898	11570
126	3930	11543
127	3963	11519
128	3995	11492
129	4028	11464
130	4077	11484
131	4111	11461
132	4145	11440
133	4180	11417
134	4215	11396
135	4246	11364
136	4277	11334
137	4311	11310
138	4343	11279
139	4376	11253
140	4408	11223
141	4440	11194
142	4473	11167
143	4505	11139
144	4537	11109
145	4570	11081
146	4600	11048
147	4632	11018
148	4662	10983
149	4694	10953
150	4725	10922
151	4757	10891
152	4790	10863
153	4822	10834
154	4854	10805
155	4885	10774
156	4917	10742
157	4948	10711
158	4978	10677
159	5009	10645
160	5040	10613
161	5072	10583
162	5106	10557
163	5141	10534
164	5175	10507
165	5209	10482
166	5243	10455
167	5276	10426
